nombre_propietario,cedula,telefono,correo,direccion,placa,id,codigo_interno,fecha_registro,año,kilometraje,cilindraje,marca,combustible,tipo_transmision,traccion,uso,zona,falla_frenos,falla_motor,falla_llantas,falla_direccion,falla_suspension,falla_luces,falla_espejos,resultado
José Hernández,686782980,3014382354,josé-hernández779@live.com,"Carrera 48 #48-66, Cartagena",PSS-654,2909,CDA-18176,09/01/2019,2011.0,168.7k km,2500cc,Kia,GAS,cvt,FWD,PARTICULAR,Rural,no,si,false,true,,false,false,1
Carlos Martínez,209135152,3249674575,carlos.martínez669@gmail.com,"Circular 73 #50-20, Armenia",ZIM774,459,CDA-76051,02-03-2021,1997.0,337731,1400,Suzuki,eléctrico,semiautomatica,4x4,PARTICULAR,suburbano,false,0,yes,si,no,false,,1
María López,845656674,3021498106,maría_lópez907@live.com,"Transversal 98 #66-55, Barranquilla",HDG289,2171,CDA-78942,2021/08/10,2018.0,194.4k km,4000,Toyota,Gas,Automática,FWD,público,urbano,true,no,false,0,true,false,,1
María López,719373884,3158604827,maría.lópez487@gmail.com,"Diagonal 109 #22-37, Montería",ONK715,79,CDA-70420,21/08/2022,2007.0,262019,1600,Renault,GSL,Tiptronic,awd,Particular,urbano,no,si,0,no,yes,yes,no,1
Laura García,485162919,3044834678,laura.garcía695@hotmail.com,"Carrera 84 #86-46, Cúcuta",OOB778,2938,CDA-61774,21-03-2023,2007.0,395.732 km,4000cc,Honda,gas,mecánica,RWD,,Urbano,1,no,yes,si,,no,no,1
Fabio Arévalo,86547577,3166146608,fabio_arévalo66@hotmail.com,"Avenida 63 #31-62, Villavicencio",ONA088,1057,CDA-77961,2018/07/31,2013.0,272.9k km,2500,Ford,Híbrido,mecánica,4x4,Taxi,suburbano,false,no,no,0,no,,false,0
Ernesto Pineda,212026365,3105769388,ernesto.pineda808@gmail.com,"Circular 60 #23-85, Bucaramanga",NWV-774,907,CDA-39214,10/10/2021,2017.0,103k,1150,Ford,Diesel,manual,4x2,Publico,URBANO,true,false,0,false,0,,no,1
Patricia Mejía,154677715,3507292523,patriciamejía659@gmail.com,"Avenida 115 #74-13, Medellín",SBU150,2460,CDA-39455,10/07/2024,2023.0,28540,2050,Dodge,Gas,manul,awd,carga,Rural,no,false,true,0,no,false,0,1
Darío Acosta,485917157,3182911368,darío_acosta735@hotmail.com,"Circular 46 #16-49, Pasto",UEB321,2437,CDA-76477,2020/02/29,2001.0,552.320,1200,Hyundai,Gas,Mecanica,fwd,escolar,suburbano,0,1,true,si,,0,0,1
Mauricio Ruiz,75480033,3042445010,mauricio_ruiz65@hotmail.com,"Carrera 102 #71-94, Montería",KQI610,2959,CDA-33196,2021-01-02,1998.0,871445,1200,Ford,gasolina,Mecanica,4x2,Taxi,URBANO,false,,,1,no,no,no,0
Viviana Suárez,78486843,3001617723,viviana.suárez876@live.com,"Calle 8 #95-32, Armenia",ZRV067,381,CDA-62311,2018-11-26,1997.0,504.956,1300 cc,Renault,gasolina,MANUAL,AWD,PUBLICO,mixto,1,0,1,true,true,true,no,1
Iván Salcedo,733107676,3054595955,iván-salcedo673@hotmail.com,"Avenida 117 #98-17, Cali",BDQ918,948,CDA-54232,2023/01/26,1800.0,71318,1400,Mazda,Diesel,Automatio,fwd,Particular,mixto,no,no,no,si,0,,no,1
Jhon Morales,600749632,3185742863,jhon_morales838@yahoo.com,"Calle 104 #87-31, Pasto",BXR802,2067,CDA-79679,24-09-2024,2007.0,114k,1800,Suzuki,eléctrico,Automatio,fwd,escolar,rural,0,,1,false,false,,1,1
Gustavo Barrera,754368270,3121206658,gustavo.barrera935@live.com,"Avenida 9 #86-69, Villavicencio",XNV395,2213,CDA-31739,07-03-2021,2016.0,252939 km,2400,Peugeot,Electrico,mecánica,4x2,taxi,URBANO,true,no,si,1,no,no,no,1
Natalia Reyes,902049799,3207183877,natalia-reyes681@gmail.com,"Carrera 108 #90-79, Cúcuta",,716,CDA-93303,2022-06-13,2003.0,698.770,1800,mazda,Gas Natural,MANUAL,rwd,Escolar,Urbano,1,yes,false,no,si,no,no,0
Felipe Ramos,41373460,3104001812,felipe.ramos719@yahoo.com,"Carrera 37 #29-67, Cali",TAK025,2203,CDA-84554,2024/09/05,2009.0,273.583,1600 cc,TOYOTA,GNV,CVT,4X2,PARTICULAR,suburbano,si,yes,no,si,true,no,1,1
Iván Salcedo,57524142,3167997437,iván.salcedo26@gmail.com,"Carrera 63 #47-2, Ibagué",KVH865,687,CDA-21402,02/04/2019,2010.0,324765,1800cc,Renault,Electrico,Tiptronic,rwd,publico,RURAL,false,no,si,0,no,1,no,1
Xiomara Pacheco,653696067,3226620142,xiomara.pacheco673@yahoo.com,"Diagonal 7 #31-26, Cúcuta",VKW062,2817,CDA-87776,2023-08-27,2018.0,103k,2400 cc,Chevrolet,GASOLINA,Tiptronic,awd,particular,Urbano,no,,no,0,no,false,,0
Esperanza Vega,518800198,3201528218,esperanza-vega461@live.com,"Calle 101 #21-96, Manizales",WUW858,1294,CDA-14283,2020/09/09,2023.0,31288,2100,Dodge,eléctrico,tiptronic,4X2,carga,URBANO,0,no,no,no,no,no,false,0
Ernesto Pineda,378605850,3106095616,ernesto-pineda603@outlook.com,"Circular 81 #76-48, Bogotá",AWL844,306,CDA-12844,2024-02-13,1996.0,434k,3500cc,Hyundai,GSL,CVT,AWD,PARTICULAR,RURAL,si,yes,no,no,yes,false,no,1
Viviana Suárez,676453886,3101185491,viviana-suárez763@correo.com,"Calle 4 #66-28, Villavicencio",AKU462,210,CDA-26160,2023/06/20,2002.0,711.420 km,2500 cc,Ford,gnv,cvt,RWD,PARTICULAR,Urbano,yes,si,si,false,yes,0,no,1
,300915321,3118860496,sebastián_cruz811@yahoo.com,"Circular 47 #19-70, Manizales",VRE-077,1815,CDA-12330,2018-03-06,2018.0,137k,2400,Toyota,gas,mecánica,,escolar,rural,0,no,false,false,1,1,no,0
Patricia Díaz,503012128,3227795537,patricia-díaz926@outlook.com,"Transversal 78 #76-94, Medellín",NCS 888,2444,CDA-12229,2020-11-04,2023.0,18103,1100,Volkswagen,GSL,Manual,4x2,Particular,,true,no,yes,0,false,false,false,1
Ricardo Peña,318030236,3205133729,ricardopeña257@live.com,"Carrera 20 #46-40, Pasto",GMR029,1763,CDA-34806,2023-10-24,2006.0,460183 km,2350,Renault,,MANUAL,4X4,escolar,Rural,si,no,false,1,yes,false,false,1
Alejandro Zapata,202152907,3124451928,alejandrozapata606@outlook.com,"Calle 52 #49-31, Barranquilla",VAR217,2660,CDA-93389,2022-12-02,2010.0,408091,1000,Peugeot,Híbrido,Automática,FWD,taxi,mixto,1,no,no,0,1,0,no,1
Patricia Mejía,330177707,3229577002,patricia_mejía906@outlook.com,"Transversal 98 #49-2, Bucaramanga",OMH402,886,CDA-75478,12/10/2019,2007.0,660455,1250,Kia,gasolina,automatica,4X4,Carga,Rural,no,no,si,true,1,true,no,1
Sandra Castro,453575346,3151835134,sandracastro722@correo.com,"Avenida 87 #43-85, Bogotá",XWR 261,3063,CDA-37316,2018/10/25,1996.0,680.388 km,1300,Honda,Diesel,manual,FWD,Taxi,Suburbano,si,no,si,1,no,no,no,0
María López,530590298,3048187472,maría-lópez206@correo.com,"Carrera 16 #31-34, Armenia",JLU183,918,CDA-19025,2023/12/31,9999.0,411833,1200cc,Kia,Gas,AUTOMATICA,AWD,PARTICULAR,Suburbano,no,yes,no,false,no,no,,1
María López,402633713,3247071516,maríalópez54@correo.com,"Calle 116 #98-33, Barranquilla",SYG721,2033,CDA-35189,2023-03-17,2003.0,600026,2400,Peugeot,Gas Natural,autom,4X2,Escolar,URBANO,si,0,false,si,1,no,no,1
Lina Santana,522644772,3191597146,lina_santana779@outlook.com,"Transversal 29 #43-37, Bogotá",NLU620,2026,CDA-60880,2019-01-07,2005.0,,1050,Volkswagen,gnv,MANUAL,AWD,,urbano,no,si,si,0,yes,false,false,1
José Hernández,788214201,3234050662,josé.hernández994@outlook.com,"Transversal 45 #44-11, Neiva",EQR 919,192,CDA-93128,07-12-2018,2014.0,314229,,Kia,Electrico,AUTOMATICA,AWD,PUBLICO,suburbano,true,no,yes,no,no,no,1,1
Ingrid Bermúdez,97244307,3129069660,ingrid_bermúdez504@gmail.com,"Circular 41 #49-78, Manizales",LZY342,2088,CDA-37792,2019/10/17,2001.0,329704,1500,Toyota,Diesel,automatica,4X2,particular,URBANO,no,no,no,true,false,yes,no,0
Patricia Díaz,1096070893,3059844473,patricia.díaz45@gmail.com,"Avenida 51 #98-11, Medellín",BWT637,2243,CDA-41585,2020/01/11,2004.0,796466,3450,Ford,GASOLINA,AUTOMATICA,4x2,Escolar,Rural,true,no,false,yes,true,no,yes,1
Mónica Aguirre,103448114,3117335846,mónicaaguirre699@outlook.com,"Transversal 118 #14-76, Armenia",BUC095,1266,CDA-24017,18-09-2022,2023.0,14.397,2200,Kia,Diesel,CVT,,carga,Mixto,,true,,0,0,0,no,1
Andrés Torres,201453576,3201630550,andrés_torres470@yahoo.com,"Circular 12 #53-37, Armenia",RJH 992,484,,21/05/2019,2020.0,218248 km,2500 cc,Chevrolet,Gas Natural,semiautomatica,4X2,escolar,urbano,false,no,0,no,0,no,false,1
Laura García,96497748,3152453893,laura-garcía557@correo.com,"Diagonal 73 #52-89, Cali",QYJ700,916,CDA-87110,2022/01/08,2008.0,433482,4000,Nissan,GSL,cvt,FWD,público,Suburbano,0,0,no,si,0,si,no,1
Mónica Aguirre,256058816,3241953543,mónica_aguirre628@gmail.com,"Calle 73 #87-49, Cali",UWB348,2852,CDA-76797,24/11/2020,2002.0,687k,2000,Hyundai,GSL,CVT,FWD,Carga,Rural,no,1,true,true,1,no,no,1
Héctor Montoya,492001702,3102077639,héctor.montoya182@hotmail.com,"Carrera 101 #10-48, Pasto",RWS585,278,CDA-49053,2019-03-02,1996.0,344.372,1600,Mazda,gasolina,Manual,FWD,PARTICULAR,suburbano,yes,no,true,0,true,true,1,1
Carlos Martínez,293107804,3232311812,carlos.martínez670@correo.com,"Diagonal 13 #41-24, Armenia",GWS-791,989,CDA-65335,2023-04-01,2002.0,513k,2000cc,Kia,gasolina,manul,,público,mixto,no,,no,no,1,0,no,1
Andrés Torres,336130413,3247402260,andrés.torres439@live.com,"Diagonal 52 #58-47, Medellín",OZR878,2667,CDA-51116,13/01/2020,1998.0,815k,,renoult,eléctrico,Automatio,RWD,público,suburbano,1,yes,0,yes,no,1,,1
Sebastián Cruz,1018917788,3015749016,sebastián.cruz640@hotmail.com,"Carrera 100 #84-17, Cúcuta",PUO591,1246,CDA-28859,16-06-2021,2009.0,237306,1400,Mazda,Diesel,Mecanica,awd,carga,mixto,no,yes,0,no,1,yes,false,1
Adriana Parra,838405357,3048141809,adrianaparra399@outlook.com,"Avenida 17 #66-42, Bogotá",JGZ 236,2871,CDA-82558,2019/08/06,2023.0,20220,1550,Ford,gasolina,Tiptronic,4x2,Carga,Rural,no,,false,false,no,no,0,0
Camilo Rojas,1083315523,3011909520,camilo.rojas455@hotmail.com,"Calle 102 #30-99, Pereira",SAF283,572,CDA-12409,08-12-2018,2015.0,202895 km,1350,Mazda,,Mecanica,FWD,particular,Suburbano,0,,no,no,no,false,false,0
Jhon Morales,105969609,3214982910,jhonmorales740@hotmail.com,"Calle 117 #30-57, Bucaramanga",EVW084,1436,CDA-11594,2018-07-22,2003.0,569k,2000cc,Ford,gasolina,Automática,4x2,Escolar,Rural,,false,no,0,false,yes,no,1
Alejandro Zapata,30970124,3132860006,alejandro-zapata753@hotmail.com,"Diagonal 99 #21-72, Manizales",CKP462,994,CDA-19310,17-10-2022,2022.0,23.9k km,1500,Toyota,Híbrido,automatica,4x2,PARTICULAR,Suburbano,no,false,no,yes,0,0,false,0
Patricia Díaz,1013613525,3231884447,patricia.díaz676@gmail.com,"Avenida 37 #13-38, Barranquilla",JSD494,1715,CDA-13221,08/07/2024,2000.0,503.640,1500,Dodge,gnv,Manual,FWD,Publico,Suburbano,true,no,yes,0,no,no,si,1
Marcela Fuentes,,3505808831,marcela-fuentes635@correo.com,"Diagonal 92 #68-20, Bucaramanga",UUY628,1710,CDA-26573,2018/08/10,2022.0,35.382,2550,Honda,nafta,manual,awd,público,RURAL,0,false,false,,1,false,no,1
Mónica Aguirre,1063580122,3135514526,mónica_aguirre727@correo.com,"Diagonal 107 #97-87, Manizales",VRZ 093,586,CDA-38287,15/01/2023,2016.0,214.893,2400 cc,Honda,hibrido,semiautomatica,rwd,carga,Mixto,no,0,no,0,0,false,false,0
Gloria Mendoza,570645619,3167854892,gloria.mendoza745@outlook.com,"Circular 39 #50-52, Cartagena",WNP-848,1791,,08-09-2019,2019.0,54681,1400,Fiat,gnv,cvt,awd,taxi,rural,yes,no,no,true,0,,no,1
Catalina Ortiz,108630596,3217922233,catalinaortiz799@correo.com,"Calle 85 #23-69, Neiva",GQI275,3132,CDA-46379,2022/04/27,0.0,642673,2200,Hyundai,GSL,semiautomatica,AWD,taxi,mixto,si,1,yes,no,,0,0,1
Andrés Torres,144519948,3213405113,andréstorres816@correo.com,"Diagonal 46 #89-87, Cúcuta",WKE461,1432,CDA-74074,2019-06-03,2001.0,715.7k km,3400,Mitsubishi,Gas,Automatio,4x4,publico,RURAL,true,false,false,no,false,true,no,1
Adriana Parra,981166851,3156327063,adriana.parra300@outlook.com,"Circular 56 #29-76, Bogotá",RJP811,1350,CDA-45895,2018/04/29,2022.0,46628,1100,Honda,Gas,manul,FWD,Publico,Rural,false,si,yes,no,no,,0,1
Fabio Arévalo,411643097,3119944436,fabioarévalo115@outlook.com,"Diagonal 96 #57-99, Pereira",XPT761,1008,CDA-78046,12-07-2019,2000.0,714330 km,2400,Dodge,GSL,Tiptronic,FWD,Taxi,URBANO,0,yes,yes,si,true,false,no,1
Darío Acosta,475336140,3181302736,darío_acosta216@live.com,"Circular 109 #26-84, Bucaramanga",MDA501,675,CDA-92668,29-04-2018,2021.0,43330,1600 cc,Ford,Gas,Manual,AWD,TAXI,Urbano,yes,no,,false,no,,1,1
Lina Santana,343406321,,lina.santana713@hotmail.com,"Avenida 14 #41-51, Neiva",AQM 960,3001,CDA-11394,26/03/2023,1998.0,277.977,1200,Toyota,DIESEL,,rwd,TAXI,URBANO,,1,false,false,yes,si,0,1
Lina Santana,722169106,3011529453,lina_santana481@correo.com,"Diagonal 69 #43-80, Cali",WWZ-037,856,CDA-72694,2021-06-06,2000.0,497265,2000 cc,mazda,Electrico,,rwd,publico,mixto,true,0,,no,false,yes,1,1
Felipe Ramos,353940314,3195554112,felipe_ramos4@gmail.com,"Avenida 98 #17-97, Cali",LEP-901,448,CDA-43513,2022/03/01,1996.0,,3000,Toyota,hibrido,manual,4X4,Taxi,Urbano,true,no,yes,no,yes,false,no,1
Natalia Reyes,256101002,3003608265,natalia.reyes331@outlook.com,"Circular 19 #72-81, Pereira",BTZ659,1736,CDA-27879,04-06-2023,2006.0,231k,1000 cc,Fiat,Gasolina,autom,4x2,PUBLICO,Suburbano,yes,true,si,0,no,1,si,1
Sebastián Cruz,595555796,3018472147,,"Transversal 78 #23-17, Armenia",MNV 903,2034,CDA-31036,04/08/2020,2003.0,604611,1350,Renault,,,AWD,público,Urbano,no,1,false,si,,no,0,1
Luis Rodríguez,501448141,3211636141,luisrodríguez759@live.com,"Circular 102 #74-87, Cali",NQX229,2291,CDA-51926,02-05-2021,2003.0,798.9k km,1100,Hyundai,gasolina,Automatio,4x4,Escolar,,true,false,true,si,true,no,no,0
Patricia Díaz,75131511,3221589866,patricia_díaz897@outlook.com,"Avenida 5 #7-81, Villavicencio",IZG-100,2487,CDA-70452,06/10/2019,2019.0,110482,3000,Dodge,hibrido,AUTOMATICA,rwd,Carga,suburbano,no,no,0,0,,false,false,0
Felipe Ramos,538690954,3144522601,felipe-ramos559@live.com,"Avenida 64 #76-28, Bogotá",XEX050,2936,CDA-36295,2022/06/07,1999.0,901125,1000,Ford,Gas Natural,MANUAL,RWD,escolar,Rural,true,no,,false,si,si,,1
Felipe Ramos,581224559,3132704052,feliperamos306@outlook.com,"Calle 90 #27-10, Bucaramanga",DGP662,2620,CDA-55934,21/07/2019,2021.0,107756,1500cc,Kia,eléctrico,mecánica,4X4,publico,mixto,0,no,no,no,no,false,no,0
Natalia Reyes,423362461,3224543122,natalia_reyes467@correo.com,"Avenida 40 #43-81, Manizales",JFG017,1419,CDA-69526,2024/09/22,2014.0,218k,1300,Kia,GAS,manual,rwd,Particular,Mixto,no,false,no,no,0,no,0,1
Darío Acosta,922564389,3052530431,daríoacosta782@gmail.com,"Avenida 104 #10-49, Pasto",UMH917,1738,CDA-13863,2020/03/17,2013.0,186906,1600,Hyundai,gasolina,Tiptronic,4x2,Carga,URBANO,no,yes,,no,1,0,0,1
Darío Acosta,637509710,3106510340,darío_acosta508@outlook.com,"Avenida 95 #37-35, Armenia",ZHC100,3051,CDA-80818,29-06-2020,2005.0,279536,1800 cc,Mazda,GSL,semiautomatica,4x4,taxi,suburbano,false,yes,0,yes,,no,no,1
Xiomara Pacheco,744221028,3226172620,xiomara_pacheco990@live.com,"Diagonal 85 #22-70, Cúcuta",MEN-194,2733,CDA-75704,2022-03-27,2004.0,584432,1100 cc,Mazda,gnv,AUTOMATICA,RWD,PUBLICO,rural,no,,0,1,yes,0,0,1
Viviana Suárez,797541914,3057290303,viviana-suárez606@yahoo.com,"Transversal 50 #24-99, Barranquilla",HXC199,1248,CDA-25338,26/04/2023,1997.0,519080,1800,Hyundai,Gasolina,manual,awd,escolar,RURAL,no,0,true,yes,true,no,yes,1
Lina Santana,923233323,3137518080,lina.santana24@live.com,"Transversal 66 #36-88, Barranquilla",DCV 900,295,CDA-96789,21-02-2022,1995.0,802.650,3000,Chevrolet,Gasolina,Manual,4X4,taxi,Suburbano,1,1,no,yes,yes,no,,1
José Hernández,142004832,3012415198,joséhernández78@outlook.com,"Transversal 104 #96-36, Armenia",LPZ-345,1548,CDA-50860,2020-06-11,2003.0,572532,1450,Chevrolet,Gas,MANUAL,rwd,Carga,Suburbano,false,no,yes,1,1,no,no,1
Sandra Castro,180205615,3218318221,sandracastro492@yahoo.com,"Transversal 50 #79-11, Bogotá",LSW-136,589,CDA-46922,2021/07/21,2009.0,468412,1000,Fiat,Gas Natural,,fwd,Taxi,URBANO,1,true,yes,true,no,yes,no,1
Xiomara Pacheco,327159148,3205967958,,"Diagonal 91 #10-57, Pereira",QGD115,1282,CDA-17033,01/06/2023,1997.0,644k,1600,Fiat,nafta,mecánica,AWD,taxi,rural,no,false,0,yes,true,yes,yes,1
Carlos Martínez,68445078,3244835610,carlos_martínez713@outlook.com,"Avenida 19 #19-44, Cartagena",OTB-161,1740,CDA-10825,2018/12/12,2023.0,37829,2400,Mazda,nafta,AUTOMATICA,RWD,taxi,Suburbano,yes,no,0,1,false,false,false,1
Darío Acosta,665147834,3127141898,darío.acosta170@hotmail.com,"Carrera 29 #65-32, Cúcuta",DHJ-764,2133,CDA-77701,22-09-2022,2023.0,209529 km,1800,Honda,Gasolina,semiautomatica,4X2,escolar,Urbano,,no,false,0,0,no,,1
Ana Gómez,766328862,3054631110,anagómez174@gmail.com,"Transversal 61 #71-80, Barranquilla",ATP567,2542,CDA-73019,2021-07-25,2009.0,233k,2500 cc,Volkswagen,Electrico,CVT,AWD,escolar,RURAL,0,no,no,false,1,si,false,1
,92695251,3194335291,laura.garcía713@hotmail.com,"Avenida 77 #32-59, Armenia",ZWU457,2484,CDA-82513,21/02/2021,2016.0,154.000,4000,Kia,Gas Natural,mecánica,fwd,Publico,mixto,0,false,no,no,false,no,si,1
Carlos Martínez,143850384,3178028010,carlosmartínez638@gmail.com,"Carrera 83 #52-30, Cartagena",AHI555,2644,CDA-22392,2018/05/04,1996.0,563061,1300cc,Toyota,GSL,Manual,4x2,Taxi,Rural,true,0,yes,yes,,yes,true,1
Viviana Suárez,258695566,3249596527,viviana.suárez66@correo.com,"Carrera 101 #74-86, Villavicencio",QEY 738,1745,CDA-59567,2023-05-29,2012.0,216538,1800cc,Ford,Gas Natural,Automática,AWD,público,mixto,true,0,si,0,1,1,yes,1
Camilo Rojas,402337111,3168075291,camilo.rojas563@live.com,"Circular 37 #33-12, Manizales",ACU 545,2481,CDA-17132,2021/06/02,2004.0,409.120,1800 cc,Renault,Gas,manul,AWD,carga,urbano,,1,1,1,si,false,0,1
Claudia Vargas,201737894,3157923177,claudia_vargas892@hotmail.com,"Carrera 99 #6-23, Neiva",MZW-344,1418,CDA-95088,2018-08-13,2021.0,81.043,2500,Mitsubishi,GNV,manual,AWD,Carga,rural,si,0,no,false,si,false,,0
Xiomara Pacheco,885936959,3158192458,,"Transversal 78 #87-40, Neiva",GDK956,426,CDA-14635,30/12/2019,2002.0,775k,3500cc,Suzuki,Híbrido,Manual,4x4,Escolar,suburbano,0,yes,si,si,false,true,true,1
Iván Salcedo,81933092,3244115522,iván.salcedo215@outlook.com,,NCW 174,535,CDA-54774,2023-03-22,2011.0,156867,1600,Mazda,GNV,Automatio,RWD,PARTICULAR,Urbano,true,1,,false,no,no,0,1
Ricardo Peña,833425495,3158304930,ricardo.peña267@live.com,"Calle 10 #95-48, Ibagué",,1055,CDA-33908,21/02/2018,2003.0,262k,2000,Honda,Gas,CVT,4X4,Particular,Rural,si,true,,no,true,no,false,1
Iván Salcedo,97883295,3143684175,iván-salcedo416@outlook.com,"Avenida 4 #40-42, Manizales",VXS992,2858,CDA-21076,2019/01/07,2005.0,442k,1100,Hyundai,Gasolina,,AWD,Carga,RURAL,true,true,yes,true,,no,true,1
Natalia Reyes,789938956,3123583176,nataliareyes790@gmail.com,"Calle 46 #1-42, Medellín",PZV433,2750,CDA-13365,2022/08/24,2006.0,422396,2400,Mitsubishi,Diesel,Tiptronic,rwd,publico,URBANO,si,yes,0,si,false,yes,no,1
Lina Santana,396093416,3048157003,lina-santana139@yahoo.com,"Avenida 21 #68-95, Pereira",PQK486,1744,CDA-18630,23-11-2020,2011.0,438283,3450,Chevrolet,diesel,cvt,awd,taxi,suburbano,true,false,no,true,no,false,false,1
Diana Herrera,452723088,3126440230,dianaherrera160@outlook.com,"Circular 56 #48-19, Neiva",MLV159,133,CDA-50653,2019/12/29,1999.0,425818,1600,Dodge,diesel,mecánica,4x2,público,Urbano,1,false,false,true,1,true,0,1
Ernesto Pineda,21907395,3048132769,ernestopineda52@live.com,"Calle 59 #18-60, Villavicencio",OIT488,7,CDA-68446,2023/04/29,2009.0,552661 km,3000cc,Nissan,Electrico,Automatio,awd,Taxi,Rural,0,false,no,si,yes,no,no,1
Patricia Díaz,48474604,3105385110,patriciadíaz245@hotmail.com,"Carrera 54 #16-63, Bogotá",LSE721,2922,CDA-36755,25/08/2024,2021.0,91762,1100,Ford,GASOLINA,Mecanica,rwd,Publico,Urbano,false,no,no,0,0,false,no,0
Yolanda Cárdenas,398794777,3167824387,yolandacárdenas508@live.com,"Calle 14 #88-25, Montería",POA334,422,CDA-52616,2019-03-03,2000.0,,4000cc,Fiat,DIESEL,manual,4X2,Taxi,mixto,1,1,true,0,0,true,si,1
Adriana Parra,886923045,3216497163,adrianaparra68@hotmail.com,"Avenida 86 #83-5, Pereira",EMF068,1691,CDA-81745,03/07/2018,2008.0,470403 km,1500,Mazda,hibrido,Automatio,AWD,escolar,Mixto,no,no,yes,,0,no,false,1
Yolanda Cárdenas,589697373,3162221209,yolanda-cárdenas610@gmail.com,"Avenida 86 #51-59, Neiva",IRZ181,2919,CDA-18524,25-01-2024,2011.0,200k,2000,Dodge,Híbrido,Automática,,PARTICULAR,Mixto,false,no,no,no,false,no,0,0
Catalina Ortiz,620107457,3127127624,,"Carrera 101 #46-16, Ibagué",GBN-946,2274,CDA-22781,13/06/2018,2003.0,318k,3000,Toyota,GSL,cvt,RWD,Particular,Urbano,true,0,si,no,si,si,no,1
Luis Rodríguez,436632271,3115061143,luis_rodríguez894@live.com,"Calle 33 #30-57, Barranquilla",XCX680,1926,CDA-53920,17-09-2023,2017.0,126.7k km,1800cc,Suzuki,gas,cvt,FWD,Taxi,Mixto,1,no,true,,false,no,0,1
Camilo Rojas,395886322,3112567945,camilo-rojas941@live.com,"Avenida 47 #18-84, Montería",JEZ041,1717,CDA-48320,2023/09/10,2012.0,197926,1250,Honda,Gasolina,semiautomatica,awd,particular,URBANO,0,no,false,yes,no,0,no,0
Andrés Torres,789355820,3045693714,andréstorres757@correo.com,"Carrera 22 #76-34, Villavicencio",BTY175,1369,CDA-97285,26-11-2024,2024.0,0,3450,Kia,GAS,AUTOMATICA,rwd,TAXI,Rural,0,no,no,false,false,no,0,1
Xiomara Pacheco,488814019,3016341250,xiomara_pacheco403@outlook.com,"Calle 8 #84-51, Barranquilla",SDZ302,557,CDA-94931,2021-05-15,1997.0,576259,3550,Peugeot,Híbrido,automatica,awd,escolar,Urbano,false,false,1,true,no,no,no,1
Lina Santana,218824288,3048889046,linasantana588@yahoo.com,"Carrera 120 #8-91, Bogotá",YMY093,2249,CDA-10130,2021/04/17,2011.0,,1500,Toyota,gasolina,manual,AWD,escolar,rural,no,0,0,no,1,no,0,0
Lina Santana,520517672,3211455440,linasantana154@outlook.com,"Calle 90 #95-27, Pasto",XZE070,1816,CDA-50366,26-10-2018,2018.0,109k,1000,Peugeot,Diesel,semiautomatica,4x2,publico,RURAL,no,no,false,si,0,false,false,1
Marcela Fuentes,675659621,3008603022,marcela.fuentes738@gmail.com,"Carrera 65 #94-9, Cartagena",QWS-053,2974,CDA-94811,01-12-2024,2008.0,638473,2400,Dodge,,Automatio,AWD,Escolar,Suburbano,yes,0,no,0,true,1,0,1
Sebastián Cruz,625821144,3249493563,sebastián-cruz868@hotmail.com,"Diagonal 62 #84-70, Neiva",HCK613,3139,CDA-50630,03/01/2019,2012.0,342612,1100,Fiat,hibrido,Tiptronic,AWD,TAXI,urbano,no,si,0,si,no,0,0,1
Gloria Mendoza,973968405,3028165320,,"Diagonal 54 #82-79, Bucaramanga",QOB899,2319,CDA-30069,2020/02/15,2002.0,274728,2300,Toyota,GAS,Automatio,4X4,particular,Urbano,no,no,yes,si,si,1,0,1
Adriana Parra,1045894207,,adriana_parra505@yahoo.com,"Avenida 115 #84-58, Ibagué",NNE 245,571,CDA-30011,28/04/2020,2024.0,0,3000,Volkswagen,Electrico,automatica,AWD,Carga,URBANO,no,,false,no,no,,,0
Mauricio Ruiz,461635807,3051691961,mauricio_ruiz684@gmail.com,"Avenida 21 #90-55, Manizales",LWW838,353,CDA-51408,22/06/2020,1996.0,528065,1400,Chevrolet,Gasolina,tiptronic,fwd,Particular,Rural,no,0,true,yes,yes,true,no,1
José Hernández,403521004,3243804075,josé_hernández847@correo.com,"Avenida 88 #90-89, Pereira",PVA534,92,CDA-23424,24/08/2023,2018.0,193589,2500cc,Suzuki,GASOLINA,manul,4X2,PUBLICO,suburbano,0,0,0,no,true,false,,1
Viviana Suárez,429528952,3122398996,viviana-suárez866@correo.com,"Diagonal 50 #87-3, Manizales",GQH997,3176,CDA-62902,25-05-2018,2020.0,77426,1500,Toyota,GASOLINA,MANUAL,,taxi,rural,0,0,no,false,0,false,0,1
Camilo Rojas,908569228,3203633882,camilorojas546@outlook.com,"Carrera 81 #60-77, Bogotá",CLM859,2783,CDA-25179,2021/02/27,2016.0,127k,2500,Volkswagen,GASOLINA,Automática,rwd,PUBLICO,Mixto,si,yes,,no,true,true,0,1
Mauricio Ruiz,913938295,3005730534,mauricioruiz959@hotmail.com,"Calle 84 #58-40, Ibagué",VLE459,1171,CDA-64829,2018/08/11,2022.0,61383,2400,Ford,Gasolina,Automatio,4x4,PUBLICO,rural,false,no,no,yes,,no,0,0
